date,sku,qty,description
2023-01-30,CARR-4CUP,1,4-Cup Carrier
2023-01-30,CLAM-BURG,3,Burger Clamshell
2023-01-30,CUP-12OZ,5,12oz Paper Cup
2023-01-30,CUP-16OZ,5,16oz Paper Cup
2023-01-30,CUP-8OZ,5,8oz Paper Cup
2023-01-30,LID-90,5,90mm Dome Lid
2023-01-30,NAP-33,8,33cm Napkin
2023-01-31,BOWL-24,2,24oz Salad Bowl
2023-01-31,CLAM-BURG,3,Burger Clamshell
2023-01-31,CUP-12OZ,4,12oz Paper Cup
2023-01-31,CUP-16OZ,5,16oz Paper Cup
2023-01-31,CUP-8OZ,5,8oz Paper Cup
2023-01-31,LID-90,6,90mm Dome Lid
2023-01-31,NAP-33,8,33cm Napkin
2023-02-01,BOWL-24,8,24oz Salad Bowl
2023-02-01,CLAM-BURG,3,Burger Clamshell
2023-02-01,CUP-12OZ,5,12oz Paper Cup
2023-02-01,CUP-16OZ,6,16oz Paper Cup
2023-02-01,CUP-8OZ,5,8oz Paper Cup
2023-02-01,LID-90,5,90mm Dome Lid
2023-02-01,NAP-33,8,33cm Napkin
2023-02-02,BOWL-24,10,24oz Salad Bowl
2023-02-02,CLAM-BURG,4,Burger Clamshell
2023-02-02,CUP-12OZ,5,12oz Paper Cup
2023-02-02,CUP-16OZ,2,16oz Paper Cup
2023-02-02,CUP-8OZ,5,8oz Paper Cup
2023-02-02,LID-90,6,90mm Dome Lid
2023-02-02,NAP-33,7,33cm Napkin
2023-02-03,BOWL-24,4,24oz Salad Bowl
2023-02-03,CLAM-BURG,2,Burger Clamshell
2023-02-03,CUP-12OZ,3,12oz Paper Cup
2023-02-03,CUP-16OZ,2,16oz Paper Cup
2023-02-03,CUP-8OZ,3,8oz Paper Cup
2023-02-03,LID-90,3,90mm Dome Lid
2023-02-03,NAP-33,3,33cm Napkin
2023-02-04,BOWL-24,16,24oz Salad Bowl
2023-02-04,CLAM-BURG,1,Burger Clamshell
2023-02-04,CUP-12OZ,6,12oz Paper Cup
2023-02-04,CUP-16OZ,1,16oz Paper Cup
2023-02-04,CUP-8OZ,6,8oz Paper Cup
2023-02-04,LID-90,6,90mm Dome Lid
2023-02-04,NAP-33,7,33cm Napkin
2023-02-05,BOWL-24,9,24oz Salad Bowl
2023-02-05,CLAM-BURG,1,Burger Clamshell
2023-02-05,CUP-12OZ,6,12oz Paper Cup
2023-02-05,CUP-16OZ,2,16oz Paper Cup
2023-02-05,CUP-8OZ,8,8oz Paper Cup
2023-02-05,LID-90,6,90mm Dome Lid
2023-02-05,NAP-33,8,33cm Napkin
2023-02-05,STIR-WD,1,Wooden Stirrer
2023-02-06,BOWL-24,11,24oz Salad Bowl
2023-02-06,CLAM-BURG,2,Burger Clamshell
2023-02-06,CUP-12OZ,4,12oz Paper Cup
2023-02-06,CUP-16OZ,4,16oz Paper Cup
2023-02-06,CUP-8OZ,6,8oz Paper Cup
2023-02-06,LID-90,6,90mm Dome Lid
2023-02-06,NAP-33,9,33cm Napkin
2023-02-07,BOWL-24,7,24oz Salad Bowl
2023-02-07,CLAM-BURG,4,Burger Clamshell
2023-02-07,CUP-12OZ,4,12oz Paper Cup
2023-02-07,CUP-16OZ,3,16oz Paper Cup
2023-02-07,CUP-8OZ,5,8oz Paper Cup
2023-02-07,LID-90,6,90mm Dome Lid
2023-02-07,NAP-33,7,33cm Napkin
2023-02-08,BOWL-24,5,24oz Salad Bowl
2023-02-08,CLAM-BURG,3,Burger Clamshell
2023-02-08,CUP-12OZ,4,12oz Paper Cup
2023-02-08,CUP-16OZ,4,16oz Paper Cup
2023-02-08,CUP-8OZ,5,8oz Paper Cup
2023-02-08,LID-90,5,90mm Dome Lid
2023-02-08,NAP-33,7,33cm Napkin
2023-02-09,BOWL-24,6,24oz Salad Bowl
2023-02-09,CLAM-BURG,3,Burger Clamshell
2023-02-09,CUP-12OZ,4,12oz Paper Cup
2023-02-09,CUP-16OZ,3,16oz Paper Cup
2023-02-09,CUP-8OZ,5,8oz Paper Cup
2023-02-09,LID-90,5,90mm Dome Lid
2023-02-09,NAP-33,8,33cm Napkin
2023-02-10,BOWL-24,2,24oz Salad Bowl
2023-02-10,CLAM-BURG,2,Burger Clamshell
2023-02-10,CUP-12OZ,3,12oz Paper Cup
2023-02-10,CUP-16OZ,2,16oz Paper Cup
2023-02-10,CUP-8OZ,3,8oz Paper Cup
2023-02-10,LID-90,2,90mm Dome Lid
2023-02-10,NAP-33,4,33cm Napkin
2023-02-10,STIR-WD,1,Wooden Stirrer
2023-02-11,BOWL-24,12,24oz Salad Bowl
2023-02-11,CLAM-BURG,3,Burger Clamshell
2023-02-11,CUP-12OZ,4,12oz Paper Cup
2023-02-11,CUP-16OZ,1,16oz Paper Cup
2023-02-11,CUP-8OZ,6,8oz Paper Cup
2023-02-11,LID-90,5,90mm Dome Lid
2023-02-11,NAP-33,8,33cm Napkin
2023-02-12,BOWL-24,6,24oz Salad Bowl
2023-02-12,CLAM-BURG,2,Burger Clamshell
2023-02-12,CUP-12OZ,5,12oz Paper Cup
2023-02-12,CUP-16OZ,3,16oz Paper Cup
2023-02-12,CUP-8OZ,7,8oz Paper Cup
2023-02-12,LID-90,5,90mm Dome Lid
2023-02-12,NAP-33,8,33cm Napkin
2023-02-13,BOWL-24,1,24oz Salad Bowl
2023-02-13,CLAM-BURG,3,Burger Clamshell
2023-02-13,CUP-12OZ,4,12oz Paper Cup
2023-02-13,CUP-16OZ,2,16oz Paper Cup
2023-02-13,CUP-8OZ,6,8oz Paper Cup
2023-02-13,LID-90,6,90mm Dome Lid
2023-02-13,NAP-33,8,33cm Napkin
2023-02-14,BOWL-24,5,24oz Salad Bowl
2023-02-14,CLAM-BURG,4,Burger Clamshell
2023-02-14,CUP-12OZ,5,12oz Paper Cup
2023-02-14,CUP-16OZ,3,16oz Paper Cup
2023-02-14,CUP-8OZ,4,8oz Paper Cup
2023-02-14,LID-90,5,90mm Dome Lid
2023-02-14,NAP-33,7,33cm Napkin
2023-02-15,BOWL-24,11,24oz Salad Bowl
2023-02-15,CLAM-BURG,2,Burger Clamshell
2023-02-15,CUP-12OZ,5,12oz Paper Cup
2023-02-15,CUP-16OZ,3,16oz Paper Cup
2023-02-15,CUP-8OZ,6,8oz Paper Cup
2023-02-15,LID-90,5,90mm Dome Lid
2023-02-15,NAP-33,7,33cm Napkin
2023-02-16,CLAM-BURG,3,Burger Clamshell
2023-02-16,CUP-12OZ,4,12oz Paper Cup
2023-02-16,CUP-16OZ,4,16oz Paper Cup
2023-02-16,CUP-8OZ,4,8oz Paper Cup
2023-02-16,LID-90,6,90mm Dome Lid
2023-02-16,NAP-33,8,33cm Napkin
2023-02-17,BOWL-24,6,24oz Salad Bowl
2023-02-17,CLAM-BURG,1,Burger Clamshell
2023-02-17,CUP-12OZ,3,12oz Paper Cup
2023-02-17,CUP-16OZ,2,16oz Paper Cup
2023-02-17,CUP-8OZ,3,8oz Paper Cup
2023-02-17,LID-90,3,90mm Dome Lid
2023-02-17,NAP-33,4,33cm Napkin
2023-02-18,BOWL-24,1,24oz Salad Bowl
2023-02-18,CLAM-BURG,3,Burger Clamshell
2023-02-18,CUP-12OZ,5,12oz Paper Cup
2023-02-18,CUP-16OZ,6,16oz Paper Cup
2023-02-18,CUP-8OZ,6,8oz Paper Cup
2023-02-18,LID-90,7,90mm Dome Lid
2023-02-18,NAP-33,8,33cm Napkin
2023-02-19,BOWL-24,8,24oz Salad Bowl
2023-02-19,CLAM-BURG,3,Burger Clamshell
2023-02-19,CUP-12OZ,6,12oz Paper Cup
2023-02-19,CUP-16OZ,3,16oz Paper Cup
2023-02-19,CUP-8OZ,6,8oz Paper Cup
2023-02-19,LID-90,5,90mm Dome Lid
2023-02-19,NAP-33,8,33cm Napkin
2023-02-20,BOWL-24,9,24oz Salad Bowl
2023-02-20,CLAM-BURG,1,Burger Clamshell
2023-02-20,CUP-12OZ,5,12oz Paper Cup
2023-02-20,CUP-16OZ,3,16oz Paper Cup
2023-02-20,CUP-8OZ,5,8oz Paper Cup
2023-02-20,LID-90,5,90mm Dome Lid
2023-02-20,NAP-33,7,33cm Napkin
2023-02-21,BOWL-24,8,24oz Salad Bowl
2023-02-21,CLAM-BURG,1,Burger Clamshell
2023-02-21,CUP-12OZ,4,12oz Paper Cup
2023-02-21,CUP-16OZ,3,16oz Paper Cup
2023-02-21,CUP-8OZ,6,8oz Paper Cup
2023-02-21,LID-90,6,90mm Dome Lid
2023-02-21,NAP-33,8,33cm Napkin
2023-02-22,BOWL-24,8,24oz Salad Bowl
2023-02-22,CLAM-BURG,4,Burger Clamshell
2023-02-22,CUP-12OZ,4,12oz Paper Cup
2023-02-22,CUP-16OZ,3,16oz Paper Cup
2023-02-22,CUP-8OZ,4,8oz Paper Cup
2023-02-22,LID-90,5,90mm Dome Lid
2023-02-22,NAP-33,8,33cm Napkin
2023-02-23,BOWL-24,6,24oz Salad Bowl
2023-02-23,CLAM-BURG,3,Burger Clamshell
2023-02-23,CUP-12OZ,4,12oz Paper Cup
2023-02-23,CUP-16OZ,3,16oz Paper Cup
2023-02-23,CUP-8OZ,5,8oz Paper Cup
2023-02-23,LID-90,5,90mm Dome Lid
2023-02-23,NAP-33,8,33cm Napkin
2023-02-24,BOWL-24,2,24oz Salad Bowl
2023-02-24,CLAM-BURG,2,Burger Clamshell
2023-02-24,CUP-12OZ,3,12oz Paper Cup
2023-02-24,CUP-16OZ,2,16oz Paper Cup
2023-02-24,CUP-8OZ,3,8oz Paper Cup
2023-02-24,LID-90,3,90mm Dome Lid
2023-02-24,NAP-33,4,33cm Napkin
2023-02-25,BOWL-24,9,24oz Salad Bowl
2023-02-25,CLAM-BURG,5,Burger Clamshell
2023-02-25,CUP-12OZ,5,12oz Paper Cup
2023-02-25,CUP-16OZ,4,16oz Paper Cup
2023-02-25,CUP-8OZ,6,8oz Paper Cup
2023-02-25,LID-90,6,90mm Dome Lid
2023-02-25,NAP-33,8,33cm Napkin
2023-02-25,STIR-WD,2,Wooden Stirrer
2023-02-26,BOWL-24,13,24oz Salad Bowl
2023-02-26,CLAM-BURG,4,Burger Clamshell
2023-02-26,CUP-12OZ,6,12oz Paper Cup
2023-02-26,CUP-16OZ,5,16oz Paper Cup
2023-02-26,CUP-8OZ,5,8oz Paper Cup
2023-02-26,LID-90,6,90mm Dome Lid
2023-02-26,NAP-33,9,33cm Napkin
2023-02-27,BOWL-24,10,24oz Salad Bowl
2023-02-27,CLAM-BURG,1,Burger Clamshell
2023-02-27,CUP-12OZ,4,12oz Paper Cup
2023-02-27,CUP-16OZ,3,16oz Paper Cup
2023-02-27,CUP-8OZ,5,8oz Paper Cup
2023-02-27,LID-90,5,90mm Dome Lid
2023-02-27,NAP-33,7,33cm Napkin
2023-02-28,BOWL-24,7,24oz Salad Bowl
2023-02-28,CLAM-BURG,3,Burger Clamshell
2023-02-28,CUP-12OZ,4,12oz Paper Cup
2023-02-28,CUP-16OZ,1,16oz Paper Cup
2023-02-28,CUP-8OZ,5,8oz Paper Cup
2023-02-28,LID-90,5,90mm Dome Lid
2023-02-28,NAP-33,7,33cm Napkin
2023-03-01,BOWL-24,5,24oz Salad Bowl
2023-03-01,CLAM-BURG,3,Burger Clamshell
2023-03-01,CUP-12OZ,4,12oz Paper Cup
2023-03-01,CUP-16OZ,3,16oz Paper Cup
2023-03-01,CUP-8OZ,5,8oz Paper Cup
2023-03-01,LID-90,5,90mm Dome Lid
2023-03-01,NAP-33,7,33cm Napkin
2023-03-02,BOWL-24,5,24oz Salad Bowl
2023-03-02,CLAM-BURG,5,Burger Clamshell
2023-03-02,CUP-12OZ,4,12oz Paper Cup
2023-03-02,CUP-16OZ,5,16oz Paper Cup
2023-03-02,CUP-8OZ,5,8oz Paper Cup
2023-03-02,LID-90,6,90mm Dome Lid
2023-03-02,NAP-33,8,33cm Napkin
2023-03-03,BOWL-24,4,24oz Salad Bowl
2023-03-03,CLAM-BURG,1,Burger Clamshell
2023-03-03,CUP-12OZ,2,12oz Paper Cup
2023-03-03,CUP-16OZ,1,16oz Paper Cup
2023-03-03,CUP-8OZ,3,8oz Paper Cup
2023-03-03,LID-90,3,90mm Dome Lid
2023-03-03,NAP-33,4,33cm Napkin
2023-03-04,BOWL-24,11,24oz Salad Bowl
2023-03-04,CARR-4CUP,1,4-Cup Carrier
2023-03-04,CLAM-BURG,4,Burger Clamshell
2023-03-04,CUP-12OZ,5,12oz Paper Cup
2023-03-04,CUP-16OZ,2,16oz Paper Cup
2023-03-04,CUP-8OZ,6,8oz Paper Cup
2023-03-04,LID-90,5,90mm Dome Lid
2023-03-04,NAP-33,7,33cm Napkin
2023-03-05,BOWL-24,11,24oz Salad Bowl
2023-03-05,CLAM-BURG,2,Burger Clamshell
2023-03-05,CUP-12OZ,5,12oz Paper Cup
2023-03-05,CUP-16OZ,3,16oz Paper Cup
2023-03-05,CUP-8OZ,6,8oz Paper Cup
2023-03-05,LID-90,7,90mm Dome Lid
2023-03-05,NAP-33,8,33cm Napkin
2023-03-06,BOWL-24,12,24oz Salad Bowl
2023-03-06,CLAM-BURG,4,Burger Clamshell
2023-03-06,CUP-12OZ,4,12oz Paper Cup
2023-03-06,CUP-16OZ,4,16oz Paper Cup
2023-03-06,CUP-8OZ,5,8oz Paper Cup
2023-03-06,LID-90,5,90mm Dome Lid
2023-03-06,NAP-33,9,33cm Napkin
2023-03-07,BOWL-24,6,24oz Salad Bowl
2023-03-07,CLAM-BURG,3,Burger Clamshell
2023-03-07,CUP-12OZ,4,12oz Paper Cup
2023-03-07,CUP-16OZ,2,16oz Paper Cup
2023-03-07,CUP-8OZ,5,8oz Paper Cup
2023-03-07,LID-90,5,90mm Dome Lid
2023-03-07,NAP-33,8,33cm Napkin
2023-03-08,BOWL-24,2,24oz Salad Bowl
2023-03-08,CARR-4CUP,2,4-Cup Carrier
2023-03-08,CLAM-BURG,3,Burger Clamshell
2023-03-08,CUP-12OZ,5,12oz Paper Cup
2023-03-08,CUP-16OZ,2,16oz Paper Cup
2023-03-08,CUP-8OZ,6,8oz Paper Cup
2023-03-08,LID-90,5,90mm Dome Lid
2023-03-08,NAP-33,7,33cm Napkin
2023-03-09,BOWL-24,6,24oz Salad Bowl
2023-03-09,CLAM-BURG,3,Burger Clamshell
2023-03-09,CUP-12OZ,5,12oz Paper Cup
2023-03-09,CUP-16OZ,5,16oz Paper Cup
2023-03-09,CUP-8OZ,6,8oz Paper Cup
2023-03-09,LID-90,5,90mm Dome Lid
2023-03-09,NAP-33,8,33cm Napkin
2023-03-10,BOWL-24,6,24oz Salad Bowl
2023-03-10,CARR-4CUP,1,4-Cup Carrier
2023-03-10,CLAM-BURG,1,Burger Clamshell
2023-03-10,CUP-12OZ,3,12oz Paper Cup
2023-03-10,CUP-16OZ,2,16oz Paper Cup
2023-03-10,CUP-8OZ,3,8oz Paper Cup
2023-03-10,LID-90,3,90mm Dome Lid
2023-03-10,NAP-33,4,33cm Napkin
2023-03-11,BOWL-24,4,24oz Salad Bowl
2023-03-11,CLAM-BURG,3,Burger Clamshell
2023-03-11,CUP-12OZ,5,12oz Paper Cup
2023-03-11,CUP-16OZ,5,16oz Paper Cup
2023-03-11,CUP-8OZ,6,8oz Paper Cup
2023-03-11,LID-90,5,90mm Dome Lid
2023-03-11,NAP-33,8,33cm Napkin
2023-03-12,BOWL-24,5,24oz Salad Bowl
2023-03-12,CLAM-BURG,4,Burger Clamshell
2023-03-12,CUP-12OZ,5,12oz Paper Cup
2023-03-12,CUP-16OZ,2,16oz Paper Cup
2023-03-12,CUP-8OZ,6,8oz Paper Cup
2023-03-12,LID-90,6,90mm Dome Lid
2023-03-12,NAP-33,9,33cm Napkin
2023-03-13,BOWL-24,10,24oz Salad Bowl
2023-03-13,CLAM-BURG,2,Burger Clamshell
2023-03-13,CUP-12OZ,4,12oz Paper Cup
2023-03-13,CUP-16OZ,4,16oz Paper Cup
2023-03-13,CUP-8OZ,5,8oz Paper Cup
2023-03-13,LID-90,5,90mm Dome Lid
2023-03-13,NAP-33,8,33cm Napkin
2023-03-14,BOWL-24,7,24oz Salad Bowl
2023-03-14,CARR-4CUP,1,4-Cup Carrier
2023-03-14,CLAM-BURG,4,Burger Clamshell
2023-03-14,CUP-12OZ,4,12oz Paper Cup
2023-03-14,CUP-16OZ,2,16oz Paper Cup
2023-03-14,CUP-8OZ,5,8oz Paper Cup
2023-03-14,LID-90,6,90mm Dome Lid
2023-03-14,NAP-33,9,33cm Napkin
2023-03-15,BOWL-24,9,24oz Salad Bowl
